blh,valid_time,d2m,latitude,longitude,sp,sshf,ssrd,strd,t2m,tcc,tp,u10,v10
581.269287109375,2016/1/17 19:00,276.39251708984375,31.1922,121.4317,101668.9531,146363.1875,0,890354.0625,279.9204406738281,0.027100861072540283,0,1.3530290126800537,-4.234899998
562.49755859375,2016/1/17 20:00,276.6859436035156,31.1922,121.4317,101775.5938,144884,0,885573.625,279.4324645996094,0.04791480302810669,-9.31E-10,1.2835679054260254,-4.589964867
497.4046630859375,2016/1/17 21:00,277.0310974121094,31.1922,121.4317,101840.8281,133891.375,0,887794.125,279.256591796875,0.052340030670166016,-1.86E-09,1.0375120639801025,-4.587730408
456.1072998046875,2016/1/17 22:00,276.5378723144531,31.1922,121.4317,101915.9531,123740.3125,0.125,880253.9375,278.3045349121094,0.02261456847190857,-1.86E-09,1.1585983037948608,-4.346286297
459.733154296875,2016/1/17 23:00,276.2470397949219,31.1922,121.4317,101937.2344,111920.8125,-0.125,871285.875,278.0837097167969,0.0529198944568634,-1.86E-09,1.5720059871673584,-4.134442329
485.0498047,2016/1/18 0:00,276.03631591796875,31.1922,121.4317,101918,100170.0625,0.25,870133.375,277.8135070800781,0.20736119151115417,0,1.6752450466156006,-3.836716175
507.9716797,2016/1/18 1:00,275.762939453125,31.1922,121.4317,101926.3438,87986.625,0.25,886021,277.43731689453125,0.44247937202453613,0,1.5372916460037231,-3.463691473
531.5894775390625,2016/1/18 2:00,275.82550048828125,31.1922,121.4317,101918.6719,69033.9375,0,947254.375,277.5892028808594,0.6538385152816772,7.152557373046875E-7,1.6082102060317993,-3.316753387
600.82666015625,2016/1/18 3:00,275.8727111816406,31.1922,121.4317,101925.8516,38818.6875,0,998054.25,277.7889709472656,0.7257106900215149,1.344829797744751E-6,1.6432610750198364,-3.3769629
630.5789794921875,2016/1/18 4:00,275.44134521484375,31.1922,121.4317,101926.0938,25081.5,0.125,1059341.125,277.3720397949219,0.9838554859161377,3.184191882610321E-6,1.7119998931884766,-3.389147758
668.498779296875,2016/1/18 5:00,275.186279296875,31.1922,121.4317,101947.2969,24540.4375,0.125,1066619.875,277.1676330566406,0.9528787136077881,1.3476237654685974E-6,1.7348939180374146,-3.227547884
687.5870361328125,2016/1/18 6:00,274.81097412109375,31.1922,121.4317,102045.4922,15187.375,-0.125,1085539.5,277.8760986328125,0.9297453165054321,1.2600794434547424E-6,1.9788999557495117,-2.790478706
729.5423583984375,2016/1/18 7:00,274.6353759765625,31.1922,121.4317,102079.0234,23412.8125,240.625,1060169,277.8026428222656,0.9337738156318665,1.3317912817001343E-6,2.241858959197998,-2.828807592
737.7077026367188,2016/1/18 8:00,273.53424072265625,31.1922,121.4317,102180.9609,-28192,112982.375,1081114.25,277.22467041015625,0.9271512031555176,8.316710591316223E-7,2.289297103881836,-3.321879864
782.64697265625,2016/1/18 9:00,273.350341796875,31.1922,121.4317,102288.0938,-147937.8125,399938.125,1093802.75,276.9665222167969,0.9648726582527161,-9.31E-10,2.4814112186431885,-3.925033092
898.0925903320312,2016/1/18 10:00,272.64227294921875,31.1922,121.4317,102360.375,-292317.5938,761269.75,1087627.75,277.5164794921875,0.9446691274642944,0,2.5968844890594482,-3.887763023
1137.667724609375,2016/1/18 11:00,271.9649963378906,31.1922,121.4317,102346.5469,-470524.9375,1243290.625,1059505.5,277.5061340332031,0.7513771653175354,0,2.9841055870056152,-4.008577824
1243.1396484375,2016/1/18 12:00,271.29449462890625,31.1922,121.4317,102273.9688,-579384.5,1604160,980092.375,277.4664306640625,0.7762806415557861,0,3.443704128265381,-4.417175293
1274.1746826171875,2016/1/18 13:00,270.274658203125,31.1922,121.4317,102268.3047,-664016.75,1801847.5,995506.4375,277.6456298828125,0.823890209197998,0,3.4638657569885254,-4.670816422
1308.870849609375,2016/1/18 14:00,270.0900573730469,31.1922,121.4317,102276.4531,-578926,1676532.125,943965.8125,277.5639343261719,0.9070696830749512,-9.31E-10,3.2852063179016113,-4.711887836
1339.5087890625,2016/1/18 15:00,269.83685302734375,31.1922,121.4317,102310.6953,-349324.6563,983224.75,1012926.688,277.56683349609375,0.9227869510650635,0,3.097093343734741,-4.771438599
1318.405517578125,2016/1/18 16:00,269.13116455078125,31.1922,121.4317,102419.9844,-227096.0625,657059.375,1040872.75,276.4822998046875,1,0,2.9651873111724854,-4.649622917
1333.083984,2016/1/18 17:00,269.063232421875,31.1922,121.4317,102482.1797,-53836.375,195738.25,1044582.125,276.0010681152344,0.7240626811981201,0,2.5472493171691895,-4.228620529
1218.546875,2016/1/18 18:00,268.8861999511719,31.1922,121.4317,102584.7969,38523.8125,4206.125,969528.125,275.0559997558594,0.44101443886756897,0,2.237539768218994,-4.085089684
1009.7118530273438,2016/1/18 19:00,268.6978759765625,31.1922,121.4317,102666.1406,33958.6875,0,968684.0625,275.02130126953125,0.33023059368133545,0,1.651824951171875,-3.583794117
827.31396484375,2016/1/18 20:00,269.3810119628906,31.1922,121.4317,102713.5547,61740.8125,0,848262.5,274.42181396484375,0.1268673837184906,0,1.3263440132141113,-3.159766197
694.0133056640625,2016/1/18 21:00,269.6383361816406,31.1922,121.4317,102737.7031,53450,-0.125,816558.75,274.12493896484375,0.01977628469467163,9.313225746154785E-10,1.2884166240692139,-2.791763544
597.9345703,2016/1/18 22:00,269.7226257324219,31.1922,121.4317,102792.3516,50052.125,0,797396.375,273.3275451660156,0,0,1.364816665649414,-2.617274284
524.9615478515625,2016/1/18 23:00,269.7966003417969,31.1922,121.4317,102813.875,50502.375,0,787489.6875,273.3953857421875,0,0,1.6439294815063477,-2.512915611
469.9404297,2016/1/19 0:00,269.6975402832031,31.1922,121.4317,102823.8359,54551.875,0,780322.1875,273.2396545410156,0,0,1.8898520469665527,-2.54471302
428.1859130859375,2016/1/19 1:00,269.2069396972656,31.1922,121.4317,102820.375,55752.25,0,773977,272.65625,0,-1.86E-09,2.0401363372802734,-2.686663628
408.1138916015625,2016/1/19 2:00,268.8665466308594,31.1922,121.4317,102854.0156,54668.875,0,767603.75,272.5763244628906,0.006256401538848877,0,2.0694453716278076,-2.681294918
435.9000244140625,2016/1/19 3:00,268.7768859863281,31.1922,121.4317,102842.75,38473.375,0,767947.9375,272.39959716796875,0,-1.86E-09,2.1162421703338623,-2.597157478
437.1937255859375,2016/1/19 4:00,267.9248962402344,31.1922,121.4317,102863.3438,39454.5,0,757872.25,271.7843017578125,0,0,2.1390295028686523,-2.396161556
396.79833984375,2016/1/19 5:00,267.6131591796875,31.1922,121.4317,102847.3125,43360.875,0,739365.375,271.5244445800781,0,-1.86E-09,2.2999484539031982,-2.202837706
